title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
Peaky Blinders,8.8,"Crime,Drama",6,36,2013– ,1 hour,"Thomas Shelby and his brothers return to Birmingham after serving in the British Army during WWI. Shelby and the Peaky Blinders, the gang he is leader of, control the city of Birmingham But as Shelby's ambitions extend beyond Birmingham, he plans to build on the business empire he's created, and stop anyone who gets in his way.","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy",10,United Kingdom,"English,Romanian,Irish Gaelic,Italian,Yiddish"
The Mandalorian,8.8,"Action,Adventure,Fantasy",3,24,2019– ,40 minutes,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic.","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",12,United States,English
Better Call Saul,8.8,"Crime,Drama",6,63,2015–2022,46 minutes,"Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman.","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love",Tous publics avec avertissement,United States,"English,Spanish,Vietnamese"
Chappelle's Show,8.7,"Comedy,Music",3,33,2003–2006,22 minutes,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Díaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",TV-MA,United States,English
Dragon Ball Z,8.7,"Animation,Action,Adventure",1,291,1989–1996,24 minutes,"Five years after the end of ""Dragon Ball"", Son Gokû reunites with his friends, bringing along his four-year old son, Gohan. Son Gohan is not like his father; he'd rather study than fight. Raditz, a warrior from space lands on earth searching for someone named ""Kakarotto"". He reveals himself as Raditz of the Saiyajin, the older brother of Kakarotto! And Kakarotto turns out to be Son Gokû! With two other Saiyajin coming to earth, can Gokû and the Z Warriors withstand the onslaught!?","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",Tous publics,,Japanese
Freaks & Geeks,8.7,"Comedy,Drama",1,18,1999–2000,44 minutes,"It's the 1980s and at McKinley High, there's two different groups of teenagers, the Freaks with cool and charismatic Daniel Desario and tomboy Lindsay Weir and the Geeks with Lindsay's shy younger brother Sam, gentle Bill Haverchuck, and self-proclaimed ladies' man Neal Schweiber. The show chronicles the normal teen/adolescence problems any teenager goes through including acceptance, drugs, drinking, and bullying.","Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",Tous publics,United States,English
Ted Lasso,8.8,"Comedy,Drama,Sport",3,23,2020– ,30 minutes,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry",Tous publics,"United States,United Kingdom",English
Blackadder Goes Forth,8.8,"Comedy,War",1,6,1989,2 hours 55 minutes,"It is 1917, and lunatic General Sir Anthony Cecil Hogmanay Melchett is leading the British troops at the front lines against the Germans, while everyone waits for Field Marshall Haig's big push. There are various emotions throughout the camp about it. For Captain Kevin Darling, Melchett's bull-dog-like right-hand man, it makes no difference, as it appears he will be safe and sound with the general when the big push occurs. For Lieutenant George Colhurst Saint Barleigh, he is overly excited at thrashing the Germans. For Private S. (probably for Sod-Off) Baldrick, it's a terrifying experience he is not looking forward to. For Captain Edmund Blackadder, however, it's something he's too cowardly to face. Self-centered, arrogant, and sarcastic, Blackadder is always constantly searching for a way out of this silly war, and will try various, often crazy, variations on escape, all of which will take a turn he never expected. Sharing a dugout with George and Baldrick, his main obstacle for escape is Darling, who will ensure everyone is present for the big push.","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Jeremy Hardy,Rik Mayall,Geoffrey Palmer,Miranda Richardson,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",TV-PG,United Kingdom,English
L'hôtel en folie,8.7,Comedy,2,12,1975–1979,30 minutes,"Inept and manic English hotel owner and manager, Basil Fawlty, isn't cut out for his job. He's intolerant, rude and paranoid. All hell frequently breaks loose as Basil tries to run the hotel, constantly under verbal attack (and sometime physical) from his unhelpful wife Sybil, and hindered by the incompetent, but easy target, Manuel, their Spanish waiter.","John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Bruce Boa,Ken Campbell,Nicky Henson,Geoffrey Palmer",TV-PG,United Kingdom,"English,Spanish"
Narcos,8.8,"Biography,Crime,Drama",3,30,2015–2017,49 minutes,"Narcos tells the true-life story of the growth and spread of cocaine drug cartels across the globe and attendant efforts of law enforcement to meet them head on in brutal, bloody conflict. It centers around the notorious Colombian cocaine kingpin Pablo Escobar (Wagner Moura) and Steve Murphy (Holbrook), a DEA agent sent to Colombia on a U.S. mission to capture him and ultimately kill him.","Pedro Pascal,Lizbeth Eden,Wagner Moura,Boyd Holbrook,Alberto Ammann,Muratcan Savci,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie",12,"United States,Colombia,Mexico","English,Spanish"
