title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
Planet Earth II,9.5,Documentary,1,6,2016,4 hours 58 minutes,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan",TV-G,"United Kingdom,Germany,France,China,United States","English,French"
L'attaque des titans,9.0,"Animation,Action,Adventure",4,86,2013–2022,24 minutes,"Humans are nearly exterminated by giant creatures called Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch",16,Japan,Japanese
The Civil War,9.0,"Documentary,History,War",1,9,1990,11 hours 20 minutes,"This highly acclaimed mini-series traces the course of the U.S. Civil War from the abolitionist movement through all the major battles to the death of President Lincoln and the beginnings of Reconstruction. The story is mostly told in the words of the participants themselves, through their diaries and letters. Visuals are usually still photographs and illustrations of the time, and the soundtrack is likewise made up of war-era tunes played on period instruments. Several modern-day historians offer periodic comment and insight on the war's causes and events.","David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",TV-14,United States,English
True Detective,8.9,"Crime,Drama,Mystery",3,24,2014–2019,55 minutes,"In 2012, Louisiana State Police Detectives Rust Cohle and Martin Hart are brought in to revisit a homicide case they worked in 1995. As the inquiry unfolds in present day through separate interrogations, the two former detectives narrate the story of their investigation, reopening unhealed wounds, and drawing into question their supposed solving of a bizarre ritualistic murder in 1995. The timelines braid and converge in 2012 as each man is pulled back into a world they believed they'd left behind. In learning about each other and their killer, it becomes clear that darkness lives on both sides of the law.","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",12,United States,English
Le décalogue,9.0,Drama,1,10,1989–1990,9 hours 32 minutes,"This is a series of ten shorts created for Polish Television, with plots loosely based upon the Ten Commandments, directed by Krzysztof Kieslowski. Two of these, Dekalog 5 and 6, are shorter cuts from the feature-length films--Krotki film o zabijaniu (A Short Film About Killing) and Krotki film o milosci (A Short Film About Love), respectively. They deal with the emotional turmoil suffered by humanity, when instinctual acts and societal morality conflict.","Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony",TV-MA,"Poland,West Germany",Polish
Death Note,9.0,"Animation,Crime,Drama",1,37,2006–2007,24 minutes,"After an intelligent yet cynical high school student begins to cleanse the world from evil with the help of a magical notebook that can kill anyone whose name is written on it, international authorities call upon a mysterious detective known as ""L"" to thwart his efforts.","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",10,Japan,Japanese
Terres de glace,9.0,Documentary,1,10,2011–2012,5 hours 33 minutes,Focuses on life and the environment in both the Arctic and Antarctic.,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Gavin Thurston,Miles Barton,Mark Linfield,Doug Anderson,Vanessa Berlowitz,Jeff Turner,Doug Allan,Didier Noirot,Jeff Wilson,Jamie McPherson,John Aitchison,Mark Smith,Niobe Thompson",TV-PG,"United Kingdom,United States,Spain,Germany,Greece,Canada","English,Russian"
Firefly,9.0,"Adventure,Drama,Sci-Fi",1,14,2002–2003,44 minutes,"Captain Malcolm 'Mal' Reynolds is a former galactic war veteran who is the captain of the transport ship ""Serenity"". Mal and his crew, ensign Zoe Alleyne Washburne; Zoe's husband, pilot Hoban 'Wash' Washburne; muscular mercenary Jayne Cobb; young mechanic Kaylee Frye; former Alliance medical officer Simon Tam; his disturbed teenage sister River (both on the run from the interplanetary government ""The Alliance""); the beautiful courtesan Inara Serra; and preacher Shepherd Book do any jobs, legal or illegal, they can find as the Serenity crew travels across the outskirts of outer space.","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles",Tous publics,United States,"English,Mandarin"
Clarkson à la ferme,9.1,"Documentary,Reality-TV",2,9,2021– ,45 minutes,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Dave Clay",16,United Kingdom,English
Planète des hommes,9.0,Documentary,1,8,2011,50 minutes,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of environment, from Arctic to desert and jungle, from coasts to mountains.","John Hurt,Roger Munns",TV-PG,United Kingdom,English
Sahsiyet,9.1,"Crime,Drama,Mystery",1,12,2018,1 hour 5 minutes,"Agâh is a retired 65-year-old judicial clerk, who crosses roads with Nevra, the only female police officer in the homicide office. Is it only a coincidence that Agâh and Nevra approach each other? Agâh Beyoglu, a retired judicial officer, is living alone in Beyoglu, Istanbul's most populous and lively district. His daughter lived abroad, his wife died years ago. This monotonous life of Agâh is upset by the diagnosis of Alzheimer's beginning. He will forget all his memories because of his illness. Even if we do not accept this fact at first, Agâh realizes that forgetting is an opportunity. An opportunity to commit a murder he has planned for years. He will not remember this crime in the future and he will not take remorse for not remembering it. Meanwhile, Nevra, the female police officer in the murder desk, was on the verge of resignation because of the pressure on her. However, the murder decision of Agâh will completely change the life of Nevra.","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun",TV-MA,Turkey,Turkish
Batman,9.0,"Animation,Action,Adventure",4,85,1992–1995,23 minutes,"Heir to the Wayne family fortune, Bruce Wayne (","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",Tous publics,United States,English
Cowboy Bebop,8.9,"Animation,Action,Adventure",1,26,1998–1999,24 minutes,"Spike Spiegel is a bounty hunter in the far future with an easy going attitude and some deadly skill at martial arts. Together with his partners, Jet Black, and later Faye Valentine as well, they go from job to job across the galaxy looking for the high priced fugitives to bag.","Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji",Tous publics,Japan,"English,Japanese"
The Blue Planet,9.0,Documentary,1,8,2001,6 hours 29 minutes,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","David Attenborough,Pierce Brosnan",TV-G,United Kingdom,English
La quatrième dimension,9.0,"Drama,Fantasy,Horror",5,156,1959–1964,51 minutes,"The Twilight Zone is a place that exists at any moment of time, of space or of mind....but always when you least expect it. When you find yourself in this realm of unlimited possibility, be careful what you say or do. The right decisions may help you find your way back out....sometimes with greater happiness and wealth. The wrong decisions often lead to madness and death, or an eternity trapped in this dimension. Tread warily past the sign post ahead that says you've entered, The Twilight Zone","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",Tous publics,United States,
SCAM 1992: The Harshad Mehta Story,9.5,"Biography,Crime,Drama",1,10,2020,54 minutes,"Set in early 90's Bombay, Scam 1992: The Harshad Mehta Story captures the meteoric rise and fall of Harshad Mehta- the flamboyant big bull of the stock market. When feisty financial journalist Sucheta Dalal exposed him as the man behind India's biggest financial scam of the time, it shook the nation.","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan",TV-14,India,Hindi
Goblin,8.6,"Comedy,Drama,Fantasy",1,16,2016–2017,2 hours,"Kim Shin, a decorated military general from the Goryeo Dynasty, is framed as a traitor and killed by his master, the young King. Years after his death, he is cursed by the almighty to stay immortal forever and endure the pain of seeing his loved ones die as a punishment for the beastly killings he committed in the wars to protect his country. He becomes an immortal goblin, helping people with his powers and being a kind man in spite of his grieving past. The only way to put an end to his immortality is the Goblin's bride, who can see and remove the sword in his chest and end his painful life. Closer to the present day, Kim Shin has waited 900 years for a human bride to end his immortal life. One night, he saves a dying pregnant woman who is destined to die. The woman gives birth to a baby girl named Ji Eun Tak. 19 years later, Ji Eun Tak is a bubbly high school student who remains cheerful and hopeful despite her tragic life. She summons the goblin by chance and their fates begin to entwine. Kim Shin's nephew Yoo Deok Hwa leases Shin's house to a Grim Reaper and the two end up living under the same roof. Sunny is a charismatic young lady who runs a chicken shop in which Ji Eun Tak works as a part timer. As the lives of Kim Shin, Grim Reaper, Ji Eun Tak and Sunny interweave, a deeper story unfolds as they are not just strangers who met-by chance but people with deep-rooted relations.","Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,Sung-Jae Yook,Lee El,Woo-jin Jo,Sung Kyum Kim,Byeong-cheol Kim,Kim So-Hyun,Min-Jae Kim,Yeom Hye-ran,Woong Choi,Kyung-hye Park,Choi Ri,Yeong-gi Jeong,Ko Bo-Gyeol,Anastasia Kim",TV-14,South Korea,Korean
Garth Marenghi's Darkplace,8.5,"Comedy,Fantasy,Horror",1,6,2004,30 minutes,"In the 1980s horror writer Garth Marenghi wrote, produced, directed and starred in Darkplace, a groundbreaking series set in a hospital and exploring the depths of the author's imagination. At least that's what Marenghi and his publicist/co-star, Dean Learner, claim in modern-day interviews which both bookend and interrupt the episodes. In fact the show is cheap, chiché'd, full of gaping plot holes and startlingly misogynist. Garth Marenghi is a creation of comedian Matthew Holness, who won a Perrier award with the character at the 2001 Edinburgh festival.","Richard Ayoade,Matt Berry,Matthew Holness,Alice Lowe,Kim Noble,Julian Barratt,Matt Green,Sarah Kants,Graham Linehan,Stephen Merchant,Spencer Brown,Noel Fielding,Paul King,Lydia Fox,Bronwen Davies,Lawrence Michelowski,Kevin Hudson,Nicholas Ivanov",TV-MA,United Kingdom,English
Vikings,8.5,"Action,Adventure,Drama",6,93,2013–2020,44 minutes,"The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors.","Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,Alex Høgh Andersen,Jordan Patrick Smith,Marco Ilsø,Peter Franzén,Travis Fimmel,Clive Standen,John Kavanagh,Jennie Jacques,Maude Hirst,Moe Dunford,Alyssa Sutherland,Linus Roache,George Blagden,Adam Copeland",12,"Ireland,Canada","English,Old English,Norse, Old,Latin,French,Arabic,Greek, Ancient (to 1453),Russian"
Scènes de la vie conjugale,8.4,Drama,1,6,1973,4 hours 43 minutes,"Ten years of Marianne and Johan's relationship are presented. We first meet them ten years into their marriage. He is a college professor, she a divorce lawyer. They say that they are happily married - unlike their friends Katarina and Peter who openly fight, especially when under the influence of alcohol - but there is a certain detached aloofness in the way they treat each other. In the next ten years, as they contemplate or embark upon divorce and/or known extramarital affairs, they come to differing understandings at each phase of their relationship of what they truly mean to each other. Regardless of if it's love or hate - between which there is a fine line - they also come to certain understandings of how they can best relate to each other, whether that be as husband and wife, friends, lovers or none of the above.","Liv Ullmann,Erland Josephson,Bibi Andersson,Gunnel Lindblom,Jan Malmsjö,Wenche Foss,Anita Wall,Bertil Norström,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs",TV-PG,Sweden,Swedish
Wentworth,8.6,"Crime,Drama",9,100,2013–2021,45 minutes,"Fans of the iconic Prisoner Cell Block H series, which pushed boundaries over three decades ago and still boasts a loyal following worldwide today, will remember Bea Smith as gutsy and fearless, ruling Wentworth Correctional Centre with an iron fist. But who was Bea Smith before prison? How did a wife and mother from the suburbs become a top dog without rival? Wentworth Prison is a dynamic, often confronting, drama series that begins with Bea's early days in prison. Set in the present day, it is a modern adaptation of Prisoner Cell Block H that contemporises legendary characters and their stories for today's audience. This series takes the viewer inside to an uncompromising environment that explores the politics of women in a world without men, and how such a threatening experience both challenges and often changes those confined and working behind the razor wire. The audience will be introduced to Bea all over again and meet her allies and enemies in the form of iconic inmates: Doreen Anderson, Liz Birdsworth and Franky Doyle, and there are new faces such as Jacs Holt, the ruthless matriarch of a crime family who now reigns over Wentworth. Favourite offices will also return. Meg Jackson carries a shameful secret; Vera Bennett, the well-meaning officer who discovers everyone has a price; Erica Davidson, the crusading Lawyer and Matthew Fletcher who believes in retribution rather than rehabilitation. And a new face, Meg's husband Will Jackson, whose past still haunts him. Each episode explores an individual character's back story, providing an insight to what makes them tick and the circumstances that led them to Wentworth. In doing so we discover that the difference between an inmate and an officer is sometimes simply geography, because they're all prisoners in surprisingly different ways. Like the original Prisoner Cell Block H, Wentworth Prison is, at its heart, a series about survival, a character drama featuring women living in a pressure cooker environment. Despite the rivalries and power struggles, this family of misfits and rebels are forced to forge unlikely friendships and allegiances if they want to survive their time inside.","Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacqueline Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lauri McLennan,Lucia Brancatisano,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",13,Australia,English
X-Men,8.4,"Animation,Action,Family",5,76,1992–1997,23 minutes,"In the Marvel Comics universe, mutants, people with genetically endowed superpowers, are persecuted by a hateful and fearful populous. One shelter from this is Professor Xavier's Academy for Gifted Children. But the school has a secret function as a training center for mutants to control their abilities so they can function in regular society. It also serves as a secret headquarters of a superhero team, called the X-Men formed both to be a positive example of mutants and as an opposing force against those mutants who seek to force the world to kneel to their perceived superiority. This series recounts their adventures as they struggle to make the world accept them, while battling villains like Magneto, Apocalypse and the genocidal robots known as the Sentinels.","Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,Lawrence Bayne,David Hemblen,John Colicos,Ron Rubin,Don Francks,Stephen Ouimette,Marc Strange,Philip Akin,Lally Cadeau",TV-Y7,"United States,Canada",English
Luther,8.4,"Crime,Drama,Mystery",5,21,2010–2019,1 hour,"John Luther is a police detective, and a very good one. He deals with murder cases, often involving serial killers, and has a knack for getting inside the mind of the killer. However, his methods, personality and troubled private life often get him into strife with his superiors, leading some to regard him as the problem rather than the solution.","Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti",12,United Kingdom,English
Jésus de Nazareth,8.5,"Biography,Drama,History",1,4,1977,6 hours 22 minutes,"Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels.","Robert Powell,Olivia Hussey,Laurence Olivier,James Mason,Anne Bancroft,Ernest Borgnine,Claudia Cardinale,Valentina Cortese,James Farentino,James Earl Jones,Stacy Keach,Tony Lo Bianco,Ian McShane,Donald Pleasence,Christopher Plummer,Anthony Quinn,Fernando Rey,Ralph Richardson",TV-G,"Italy,United Kingdom","English,Syriac"
Kôkaku kidôtai: Stand Alone Complex,8.5,"Animation,Action,Crime",2,52,2002–2005,24 minutes,"The second season of Ghost in The Shell: Stand Alone Complex begins with Section 9 being called back to work after a hostage situation of concern to the Ruling Party renders the Police useless. The entire team returns to the front lines: Kusanagi, Batoh, Togusa, Ishikawa, Saito, Paz & Borma, with four of the original Tachikomas restored after the firefight of Episode 26. The hostage situation announced the rising of a new terrorist cell, which takes much after another one in the headlines of today's papers. The Individual Eleven, whose members are neither individuals, or total up to eleven are a new threat to Public Security. How does a specialized public security group face an enemy more faceless than the ""laughing man"" during a time of political unrest? Among the broad changes from the first show involve the new ruling party, headed by the new Prime Minister Kabayuki after the prior ousting in GITS: SAC, the Japanese Residents caught in the middle of the affairs and paying the taxes for jobs they're going to lose in a time of recession, and the downtrodden ""invited"" Asian Immigrants of the Second Vietnamese War who were brought to Japan as a half-hearted humanitarian act from the government who was really just seeking cheap labor. And just who is the man called ""Gohda"", a mysterious new 'supervisor' (don't worry, Aramaki still runs the group) who appears to be calling the shots for Section 9 during certain missions? He calls out orders as if he was in charge of the group, yet has no apparent loyalty or respect to the government, military or Section 9.","Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar,Crispin Freeman,Peggy O'Neal,Dino Andrade,Kevin Brief,Loy Edge,Barbara Goodson,Kate Higgins,Patricia Ja Lee,Michael McConnohie,Liam O'Brien,Douglas Rye,Barry Stigler,Doug Stone,Julie Ann Taylor",TV-MA,Japan,Japanese
Special OPS,8.7,"Action,Crime,Thriller",1,8,2020– ,49 minutes,The series follows Himmat Singh of Research and Analysis Wing who draws similar patterns in terrorist attacks and is convinced a single person is behind all the attacks. His task force team of five agents living in various parts of the world aim to catch the mastermind. The story is based on an inspiration taken from nineteen years worth of national significant events.,"Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,Anuj Sharma,Vinay Pathak,Meher Vij,Sajjad Delafrooz,Saiyami Kher,Rajat Kaul,Parmeet Sethi,Vipul Gupta,Sana Khaan,Kali Prasad Mukherjee,Karan Ashar,Divya Dutta,Revathi Pillai,Pakkhi Guptaa",TV-MA,India,Hindi
Feud,8.5,"Biography,Drama",1,8,2017,6 hours 46 minutes,ITells the story of the legendary rivalry between Joan Crawford (Jessica Lange) and Bette Davis (Susan Sarandon) during their collaboration on the Academy Award®-nominated thriller What Ever Happened to Baby Jane? and after the cameras stopped rolling. The series explores how the two women endured ageism and misogyny while struggling to hang on to success and fame in the twilight of their careers.,"Susan Sarandon,Jessica Lange,Judy Davis,Jackie Hoffman,Alfred Molina,Stanley Tucci,Alison Wright,Catherine Zeta-Jones,Dominic Burgess,Joel Kelley Dauten,Kathy Bates,Kiernan Shipka,Molly Price,Brooke Star,Chelsea Summer,Matthew Glave,Reed Diamond,John Rubinstein",Tous publics,United States,English
Flames,9.1,"Comedy,Drama,Romance",2,10,2018–2019,20 minutes,"FLAMES #PadhaiAurPyaar is the story of a young romance unfolding as a chemical reaction. Class topper Rajat falls for Ishita, the new girl in the tuition centre. Rajat's BFFs, Pandey and Anusha's friendship is beginning to turn into a relationship. The equations of friendships evolve in the first season of this teenage romance. This web series takes you to the time when everything seemed innocent - when the idea of spending time with your crush meant helping them finish their homework. The rosy teenage days when finding love and topping exams were the only aims in life.","Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,Deepesh Sumitra Jagdish,Farabi Md Refat,Kunal Aneja,Sachin Kathuria,Neelu Dogra,Sachin Vidrohi,Purnendu Bhattacharya,Anushka Sharma,Raj Sharma,Sahil Verma,Ujjawal Aggarwal,Simar Singh Oberoi,Lalit Shokeen,Manan Madaan",TV-14,India,Hindi
Futurama,8.4,"Animation,Adventure,Comedy",10,140,1999–2013,22 minutes,"Philip J. Fry is a twenty-five-year-old pizza delivery boy whose life is going nowhere. When he accidentally freezes himself on December 31, 1999, he wakes up one thousand years in the future, and has a chance to make a fresh start. He goes to work for the Planet Express Corporation, a futuristic delivery service that transports packages to all five quadrants of the universe. His companions include the delivery ship's Captain, Leela, a beautiful one-eyed female alien who kicks some serious butt, and Bender, a robot with very human flaws.","Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",Tous publics,United States,English
The Venture Bros.,8.5,"Animation,Action,Adventure",7,86,2003–2018,22 minutes,"The warped misadventures of a former boy adventurer turned washed-up, middle-aged mad scientist Dr. Rusty Venture; his moronic teenage sons; their maniac bodyguard; and the Doctor's arch-nemeses, incompetent super villain The Monarch and his masculine sounding paramour, Dr. Girlfriend.","Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",TV-MA,United States,English
Le prisonnier,8.5,"Drama,Mystery,Sci-Fi",1,17,1967–1968,50 minutes,"""The Prisoner"" is a unique piece of television. It addresses issues such as personal identity and freedom, democracy, education, scientific progress, art and technology, while still remaining an entertaining drama series. Over seventeen episodes we witness a war of attrition between the faceless forces behind 'The Village' (a Kafkaesque community somewhere between Butlins and Alcatraz) and its most strong willed inmate, No. 6. who struggles ceaselessly to assert his individuality while plotting to escape from his captors.","Patrick McGoohan,Angelo Muscat,Peter Swanwick,Peter Brace,Leo McKern,Christopher Benjamin,Michael Miller,Alexis Kanner,Bill Cummings,Frank Maher,Patrick Cargill,Colin Gordon,Kenneth Griffith,Georgina Cookson,Harold Berens,John Cazabon,Bee Duffell,John Maxim",Tous Public,,"Russian,German,Romany,Spanish,French,Polish"
Delhi Crime,8.5,"Crime,Drama",1,8,2019– ,50 minutes,"It is based on the true-life investigation about a brutal gang rape in India. The case had enormous impact, paving the way for the introduction of stricter laws so the victim's voice will finally be heard in this developing nation.","Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,Jaya Bhattacharya,Yashaswini Dayama,Vinod Sharawat,Adil Hussain,Denzil Smith,Gopal Datt,Sidharth Bhardwaj,Swati Bhatia,Mridul Sharma,Abhilasha Singh,Sanjay Bishnoi,Shobhna Bharadwaj,Gaurav Rana,Amitabh Acharya",16,India,"English,Hindi"
Horace and Pete,8.5,"Comedy,Drama",1,10,2016,1 hour 7 minutes,"Louis C.K.'s Eugene O'Neill-esque dramedic web series about two brothers, introverted Horace and mentally ill Pete, the current owners of their family's Irish bar ""Horace and Pete's"", and their dysfunctional family and friends.","Louis C.K.,Steve Buscemi,Edie Falco,Steven Wright,Kurt Metzger,Alan Alda,Jessica Lange,Liza Treyger,Aidy Bryant,Nick Di Paolo,Maria Dizzia,Tom Noonan,Dov Davidoff,Craig muMs Grant,Reg E. Cathey,Greer Barnes,Karen Pittman,Mark Normand",TV-MA,United States,English
Batman,8.5,"Animation,Action,Adventure",2,24,1997–1999,30 minutes,"Slightly different than ""Batman: The Animated Series."" The series takes place approximately three years after the last episode of Batman which ran on Fox. Dick Grayson has grown up taken the costumed identity of Nightwing, with Tim Drake taking over as Robin.","Kevin Conroy,Tara Strong,Mathew Valencia,Efrem Zimbalist Jr.,Loren Lester,Robert Costanzo,Bob Hastings,Arleen Sorkin,Jeff Bennett,Mark Hamill,Paul Williams,Diane Pershing,Mel Winkler,Charles Rocket,Adrienne Barbeau,Richard Moll,Suzanne Stone,Brooks Gardner",TV-PG,United States,English
"Unsere Mütter, unsere Väter",8.5,"Action,Drama,History",1,3,2013,4 hours 30 minutes,"Berlin, 1941. Five friends eager to become heroes in an adventure that will change the face of Europe - and that will forever change them as well. Level-headed, highly decorated officer Wilhelm is off to the eastern front with his younger brother Friedhelm, a sensitive dreamer more interested in literature than warfare. Deeply in love with Wilhelm is Charlotte, a young nurse who looks forward to serving in the Wehrmacht, also on the eastern front. While Greta is a talented singer who longs to become another Marlene Dietrich, her Jewish boyfriend Viktor still cannot convince his parents to leave Germany... Valor and courage come to the fore, but also betrayal - of values, beliefs, humanity. Friedhelm turns into a soulless killing machine... Wilhelm deserts his troops and is court-martialed... Charlotte's Nazi ideology crumbles when she betrays a Jewish nurse helping the German army... Greta obtains papers for Viktor's escape by selling herself to an SS colonel. They and millions of others wanted to be heroes; but none of them could imagine what the war would ultimately do to them and to the rest of the world.","Volker Bruch,Tom Schilling,Katharina Schüttler,Miriam Stein,Ludwig Trepte,Mark Waschke,Henriette Richter-Röhl,Götz Schubert,Hildegard Schroedter,Christiane Paul,Sylvester Groth,Alina Levshin,Lucas Gregorowicz,Maxim Mehmet,Adam Markiewicz,Johanna Gastdorf,Peter Kremer,Trystan Pütter",TV-MA,Germany,German
The Punisher,8.5,"Action,Crime,Drama",2,26,2017–2019,53 minutes,"After exacting revenge on those responsible for the death of his wife and children, Frank Castle uncovers a conspiracy that runs far deeper than New York's criminal underworld. Now known throughout the city as The Punisher, he must discover the truth about injustices that affect more than his family alone.","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,Ebon Moss-Bachrach,Floriana Lima,Josh Stewart,Giorgia Whigham,Jaime Ray Newman,Kobi Frumer,Paul Schulze,Michael Nathanson,Royce Johnson,Tony Plana,Ripley Sobo,Daniel Webber,Kelli Barrett,Samuel María Gómez",16,United States,English
